"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Bos_taurus_2.y",-1.76229133719786,-2.68884874581266,0.0309758701840385,0.110364450528125,0.00883073439034189,0.00264521309669784,-0.00054723440591415,0.000216129709968637,0.000153310809637796,-8.43075609324728e-16
"Capra_hircus_2.y",2.91697373865733,1.81853078700172,0.116460338468792,0.102109298773921,-0.00270002143810651,0.00181090220041239,0.00100446801496952,0.00108425334380628,0.000528813644359439,8.67361737988404e-17
"Ceratotherium_simum_9_CM038160.1",1.99598580788931,-1.89211814953324,-0.298586578000068,-0.196742424238422,-0.00733603497409792,8.94303881028243e-05,0.0010285492283796,-0.000461755217991934,0.000501311841943482,-1.25940924355916e-15
"Equus_caballus_18.y",-0.7440366203281,1.09799902383324,0.270737791271263,-0.131352037013728,0.00370019555722642,-0.00096377122422024,-0.00306305921543038,-0.000281903019785727,0.000605353760168788,-5.06539254985228e-16
"Giraffa_tippelskirchi_3.y",-0.0989804258989965,0.299859951381179,0.111718929011526,-0.171753773461639,-0.00474691473936313,0.00198617648233485,-0.000885286817342112,0.000523117144663099,-0.00098146498806882,-5.2432017061399e-16
"Gorilla_gorilla_3.y",-2.22651842025432,0.0613677569360346,0.276265071551715,-0.103471430038832,0.00675995924596948,-0.00217451744508225,0.00295880171110123,0.000433339517981123,-6.00286110488341e-05,7.68482499857726e-16
"Mus_musculus_2.y",-2.40962150657825,-0.518003136195881,0.288241001429593,0.179789263869181,-0.0137974570570306,-0.00101619267798314,-4.93173191196982e-05,-0.000466842427359138,-2.46326739644061e-05,-9.4542429440736e-16
"Panthera_tigris_C1.y",2.52003870886606,1.062376815871,0.0685240945001484,0.0658165974606128,0.00595525869956122,0.000801291017282367,0.00084959497491444,-0.00166940726225319,-0.000337496289386321,-7.3899220076612e-16
"Sus_scrofa_15.y",-3.45993740377572,1.7372561145459,-0.666631367243411,0.0391048064372573,0.000555354946726583,3.57536209234763e-05,-3.73760462117664e-05,1.14419324371054e-06,4.96243907579901e-07,1.62630325872826e-15
"Tursiops_truncatus_7.y",3.26838745862056,-0.978420418027286,-0.197705151173596,0.106135247683523,0.00277892536877269,-0.00321428545846763,-0.0012591401253464,0.000621924017727275,-0.000385663737548992,1.05037506470396e-15
