chromosomes,uce-1038,uce-1088,uce-1107,uce-1135,uce-1172,uce-1183,uce-1201,uce-1209,uce-1212,uce-1241,uce-1242,uce-1246,uce-1257,uce-1290,uce-1291,uce-1295,uce-1318,uce-1335,uce-1336,uce-1490,uce-15,uce-1514,uce-1588,uce-166,uce-1698,uce-171,uce-1742,uce-1743,uce-1757,uce-1774,uce-1775,uce-1796,uce-1810,uce-1863,uce-1875,uce-1919,uce-192,uce-1925,uce-1963,uce-1975,uce-1996,uce-2007,uce-2010,uce-2021,uce-2023,uce-2103,uce-211,uce-2119,uce-2138,uce-220,uce-2210,uce-2261,uce-230,uce-2386,uce-2456,uce-2457,uce-2485,uce-249,uce-2514,uce-2576,uce-2599,uce-261,uce-2648,uce-2662,uce-268,uce-2704,uce-2758,uce-2817,uce-299,uce-2998,uce-3028,uce-3032,uce-3082,uce-3134,uce-320,uce-3248,uce-3291,uce-3309,uce-3323,uce-3335,uce-3338,uce-334,uce-3376,uce-3380,uce-3384,uce-3436,uce-3462,uce-3472,uce-353,uce-3561,uce-3564,uce-3648,uce-3746,uce-381,uce-3851,uce-3874,uce-3905,uce-3946,uce-3988,uce-4010,uce-4096,uce-4099,uce-412,uce-4138,uce-4174,uce-418,uce-4211,uce-4310,uce-436,uce-4360,uce-4386,uce-4416,uce-442,uce-4423,uce-4453,uce-4559,uce-4593,uce-4607,uce-4629,uce-463,uce-4688,uce-4747,uce-4750,uce-4778,uce-4818,uce-4827,uce-4830,uce-4891,uce-4933,uce-4935,uce-4952,uce-5029,uce-5038,uce-5208,uce-5235,uce-5313,uce-5314,uce-5395,uce-5542,uce-5573,uce-5578,uce-5705,uce-575,uce-5797,uce-5803,uce-5889,uce-5912,uce-5953,uce-6043,uce-6140,uce-6198,uce-62,uce-6229,uce-6258,uce-6261,uce-6264,uce-6267,uce-6278,uce-6282,uce-641,uce-6449,uce-6595,uce-66,uce-6627,uce-6657,uce-6676,uce-6718,uce-6732,uce-6806,uce-6862,uce-6887,uce-6892,uce-6944,uce-6948,uce-697,uce-6988,uce-6990,uce-7062,uce-7063,uce-708,uce-7122,uce-7147,uce-7170,uce-718,uce-7210,uce-7212,uce-7215,uce-7240,uce-7269,uce-7283,uce-7286,uce-7325,uce-7415,uce-7437,uce-744,uce-7459,uce-7532,uce-7615,uce-7622,uce-7627,uce-7669,uce-786,uce-7872,uce-7941,uce-7947,uce-7969,uce-8005,uce-814,uce-837,uce-845,uce-884,uce-899,uce-906,uce-915,uce-917,uce-934,uce-950,uce-958,uce-99,uce-997
Bos_taurus_2.y,52253654,36973164,40097127,52009042,21371069,52241621,53159576,50843043,50486261,52632030,53405544,32150614,40092678,32361559,51638270,51493769,31883640,37046441,52633069,19939003,23425265,50482576,39429457,22662548,52191085,52262243,52105781,40327545,32642844,51722479,32444576,32755899,53626217,24483848,40493277,52738526,49944415,21410707,21321320,32767840.5,53046919,50023039,53347804,49708311,21495685,21065523,31953921,39716556,23089254,40464305,53082514,21328767,53394502,34975584,52265827,52909983,25971992,52228571,20835527,51860868,35013922,20610134,50749866,39536763,52292815,51088528,52296584,31874428,49648745,32090127,19343344,53294211,20255308,32946330,22853597,51420055,24459808,52223738,20834240,52560219,50378942,32555435,25872160,24477372,52127939,52937289,51358978,19722024,32890094,52183427,53510187,53040322,33981782,39645524,52168587,39198357,53139345,23516025,40325824,32645314,35003046,31857999,53360547,52963985,32759310,52607649,52239212,40128017,52643130,52642830,19920571,33129829,39176680,40461732,36972250,52727832,52199594,52785767,51726073,40065855,53125429,44344626,39648367,40565727,20755934,20075176,35035007,51409150,51784526,43537870,24457785,32493605,53242492,22435121,35318877,22578147,34999804,52306812,21422058,21789155,52888250,56786422,47421116,39377887,52792396,32394143,18067685,21309937,32360172,32171632,50679269,24788499,39639764,20839036,35141000,52298091,36841726,53397657,52216094,39524526,53623634,51762949,53049569,53051982,52788142,51233726,40063468,51210630,25782123,47547112,52889240,52204672,32626677,118663739,40631958,56740151,51908640,53583716,32748564,52194199,40349571,21765656,39495774,35133128,49365699,32551169,51836347,53037233,15276716,21217869,53535093,52249811,53110239,40778335,51623888,39657974,49740439,51017570,51452096,49713341,53624670,50158064,51393685,53440893,15291736,40658815,21487466,52189774,23472763,51039848,14927784,23259383,52248516,49821231,32618778,52954919,32858169,21030126,40404582,21317925
Capra_hircus_2.y,84091306,99207598,96044026,84336628,114936953,84103333,83172024,85515372,85852513,83702175,82921983,104073711,96048941,103852106,84716751,84869062,104364483,99136290,83701135,116370958,112874874,85855870,96723103,113651904,84154300,84082745,84238182,95820797,103568092,84634137,103769428,103452337,82690582,111805493,95658185,83590786,86379557,114897417,114991897,103440257.5,83284658,86304256,82980251,86626009,114803414,115239812,104303486,96441846,113215326,95688139,83247762,114984480,82933513,101178632,84079153,83415145,110326601,84116351,115484803,84487852,101142099,115710309,85605090,96612074,84052929,85266947,84049174,104374935,86686386,104136116,116956058,83037474,116064891,103263682,113462996,84943506,111829425,84121155,115486104,83776785,85943609,103654602,110432036,111812026,84215607,83389114,85002423,116595437,103319686,84161945,82812849,83291276,102205305,96508113,84176802,96951540,83191959,112779905,95822511,103565636,101152322,104392953,82967732,83365718,103448907,83727575,84105806,96015133,83691241.89,83691542,116392878,103067863,96975901,95690718,99208483,83601903,84145803,83544045,84630533,96074202,83205882,91837965,96505310,95583152,115564250,116245971,101123961,84954249,84566225,92637282,111831437,103723900,83090563,113874916,100836497,113734966,101155560,84038947,114885559,114524081,83438396,79447205,88833070,96772728,83537411,103820762,118239573,115003306,103853549,104055939,85676527,111508648,96513856,115481268,101019007,84047667,99336232,82930353,84128804,96625383,82693165,84593077,83282020,83279589,83541669,85122671,96076589,85144722,110524422,88704672,83437432,84140450,103584113,95491802,95520628,79493969,84439124,82737679,103459656,84151187,95797740,114546216,96653392,101026537,86964415,103658885,84512626,83294376,121072696,115091108,82787419,84095132,83220923,95376872,84731297,96495668,86594258,85339250,84910032,86619997,82692126,86168177,84968054,82885348,121058927,95492615,114811647,84155614,112827527,85316838,121418298,113049258,84096427,86511116,103592012,83373811,103352676,115277819,95746816,114995287
Ceratotherium_simum_9_CM038160.1,56742143,43843429,46611666,56520073,29582344,56730369,57575045,55597850,55303487,57104204,57786609,39476289,46608926,39646389,56208166,56083608,39259047,43910461,57105240,28285736,31482422,55300127,46022630,30761066,56680746,56750462,56608821,46807993,39921477,56279952,39716187,40028309,57984800,32472192,46986768,57182989,54909818,29617784,29539855,40039461.5,57478176,54964628,57734458,54704754,29690272,29299711,39312035,46269932,31160495,46958690,57504968,29547227,57776299,42047442,56754055,57355175,33829516,56717363,29089059,56393618,42081342,28893737,55529166,46120616,56778007,55805270,56781760,39250369,54650088,39423851,27748753,57685602,28586453,40190316,30945606,56022946,32447874,56712586,29087760,57048972,55214801,39839632,33751522,32465830,56619852,57381079,55981186,28095972,40136621,56673182,57897098,57472129,41119589,46198418,56658337,45791896,57556704,31587442,46806256,39923925,42071125,39235095,57745957,57402487,40031701,57089548,56727892,46639045,57114776,57114476,28266581,40356308,45764666,46956333,43842508,57175739,56688862,57220810,56283109,46587750,57544041,50161782,46201296,47067491,29010689,28415106,42098598,56014628,56331343,49447773,32445849,39773861,57640778,30542224,42350198,30692180,42067814,56791744,29629327,29929778,57334504,60690765,52839290,45972944,57227430,39675047,26601467,29528822,39645014,39492654,55466670,32780496,46193696,29092682,42193424,56783060,43731474,57779447,56705143,46109915,57982223,56310160,57480759,57483179,57223171,55922095,46585339,55904368,33672049,52963437,57335511,56693620,39905314,41100616,47147469,60653587,56435525,57954158,40021067,56683776,46827828,29909634,46088535,42185571,54429873,39835274,56368922,57469030,24393417,29434576,57920724,56738394,57529656,47304271,56192822,46210909,54728690,55745674,56048738,54708336,57983270,55053376,56004415,57818841,24404007,47171843,29681968,56679478,31528304,55761786,24116518,31328518,56737095,54798337,39896826,57394794,40111102,29266179,46895229,29536646
Equus_caballus_18.y,27447803,40155182,37399938,27668629,54112971,27459685,26625109,28574137,28846356,27101548,26406378,44441859,37402949,44258500,27970414,28089255,44645574,40086551,27100504,55375578,52248780,28849669,37999214,52962852,27509279,27439510,27581914,37202934,44009013,27900756,44190634,43902324,26226903,51276709,37036254,27025826,29228315,54075663,54156687,43891131,26726828,29174653,26458289,29432885,54002446,54376243,44603847,37751012,52559804,37064966,26697367,54149198,26416677,41956704,27435911,26855145,49936497,27472736,54573880,27786924,41921792,54766796,28640641,37893267,27411537,28366153,27407797,44654764,29496265,44492734,55892879,26509033,55086966,43737419,52776938,28147206,51300463,27477482,54575178,27154461,28929305,44085701,50028313,51282952,27570839,26828019,28189692,55550407,43786478,27516828,26318154,26733114,42850655,37820497,27531742,38211172,26644272,52144795,37204679,44006561,41932708,44669389,26446629,26803057,43898936,27114841,27462171,37358368,27091289.89,27091590,55392755,43586408,38238435,37067530,40156066,27033092,27501092,26987746,27897593,37424263,26657245,33952275,37817648,36968639,54652575,55254283,41902253,28155824,27850865,34646546,51302494,44141714,26556525,53176460,41651254,53035353,41935966,27397834,54064694,53780807,26876215,23580345,31335715,38040507,26981126,44231018,57047197,54167449,44259878,44425936,28702086,50977867,37825923,54570225,41805491,27406502,40266518,26413508,27485202,37904289,26229499,27871521,26724248,26721843,26985370,28248313,37426676,28265360,50108342,31207043,26875223,27496330,44025148,42295926,36893551,23616974,27752350,26260449,43909556,27506186,37182210,53799559,37929502,41812974,29718104,44090036,27810597,26736232,59284486,54253119,26296256,27451665,26672636,36733716,27985656,37807776,29407563,28423392,28122398,29429578,26228448,29084760,28166035,26373357,59274564,36868641,54010388,27510543,52204102,28407853,59555783,52402362,27452967,29338421,44033388,26810784,43812980,54408451,37125948,54159858
Giraffa_tippelskirchi_3.y,79190291,93529201,90517146,79442536,108670938,79202822,78303345,80534716,80857804,78816762,78064731,98194090,90521159,98004077,79789200,79926697,98433530,93454085,78815717,110063357,106685061,80861440,91153609,107416814,79253572,79181601,79342878,90315378,97734164,79711881,97928488,97620749,77851131,105634886,90163858,78716733,81375499,108633302,108726264,97608917.5,78419436,81309194,78122210,81598852,108551410,108957220,98377434,90880520,107000881,90194805,78384162,108717149,78075839,95443199,79177943,78549613,104194970,79215820,109189867,79582357,95406880,109407483,80623970,91051532,79153175,80300151,79149418,98443805,81656253,98250911,110643128,78176920,109765535,97440342,107240031,79991203,105659225,79220637,109191162,78888876,80962085,97821549,104285731,105641340,79322720,78521573,80042405,110291223,97493965,79261271,77958935,78426069,96404221,90948708,79276035,91362815,78323991,106595776,90317100,97731671,95417155,98460804,78109971,78497684,97617337,78840116,79205236,90488739,78805945,78806245,110083035,97232189,91383569,90197399,93530087,78726365,79245086,78669024,79708403,90545792,78338262,86631755,90945869,90096714,109269088,109945697,95389419,80002169,79655735,87402148,105661220,97885002,78227491,107636555,95104692,107496732,95420409,79139182,108622218,108280441,78571404,74883069,83755859,91197361,78662393,97973719,111868472,108737769,98005515,98175857,80690632,105341020,90954493,109186327,95281091,79147910,93656817,78072668,79228562,91066017,77853712,79676314,78416803,78414385,78666653,80170719,90548175,80189273,104372855,83625150,78570428,79240173,97750064,91496652,90039657,74926209,79539487,77889451,97628047,79250477,90293338,108300073,91095129,95297069,81923101,97825857,79606017,78429343,114538172,108815288,77934462,79194145,78352873,89917179,79803784,90936222,81563487,80369825,79960978,81594092,77852678,81166339,80015747,78031258,114525743,90018743,108559650,79254865,106638372,80345806,114889040,106852118,79195443,81490843,97757770,78506308,97525400,108995185,90244625,108729650
Gorilla_gorilla_3.y,31154198,46122468,42844023,31396372,62163608,31167271,30307564,32370784,32642941,30797193,30081657,50893564,42846843,50712796,31727780,31847511,51124366,46039482,30796155,63639957,59950143,32646271,43514474,60796479,31217909,31145540,31295722,42614183,50418686,31654010,50642787,50305218,29893644,58777902,42402673,30715277,33088348,62120720,62233407,50294085.5,30411699,33026116,30136049,33331016,62041987,62519459,51076790,43228702,60352203,42430090,30382432,62225638,30092272,48135283,31141946,30550183,57143145,31180597,62755405,31527267,48098483,62969856,32446151,43392757,31117240,32150803,31113485,51133061,33420653,50948576,64226530,30185109,63316888,50115947,60597679,31910487,58803044,31185294,62756690,30864280,32751481,50500183,57250704,58785559,31282606,30519515,31961174,63838477,50160643,31225442,29988840,30417996,49139926,43302795,31240406,43802778,30328192,59836582,42615937,50416253,48108796,51147778,30124381,30496008,50301721,30814317,31169800,42810484,30786415.89,30786716,63657834,49942107,43864837,42432645,46123352,30722466,31209416,30676475,31650696,42871052,30342679,38542558,43300122,42333357,62835202,63495484,48082758,31919044,31590327,39348382,58805064,50581289,30233548,61034203,47792111,60865018,48111937,31102755,62110536,61753653,30571397,26980845,35497619,43575512,30669900,50686084,65489021,62244134,50714198,50879906,32495069,58431634,43307876,62751726,47965042,31111877,46249067,30089114,31192880,43404445,29896215,31611237,30408992,30406570,30674109,32016105,42873453,32039501,57359719,35355948,30570394,31204405,50435151,73969006,42249123,27017114,31487060,29927459,50312512,31214817,42575440,61777128,43445551,47972842,33678473,50503996,31551033,30421061,68056965,62361383,29963118,31158045,30356041,42078105,31743853,43290458,33297814,32218993,31880608,33327715,29895161,32940439,31936352,30047339,68042745,42224458,62050014,31219184,59898081,32204508,68360792,60157826,31159354,33208942,50443284,30503387,50189186,62558078,42511491,62236611
Mus_musculus_2.y,44922392,59762826,56802600,45145446,73999340,44934791,44079193,46217217,46556461,44597125,43868588,64437554,56806283,64225379,45476904,45605549,64681051,59730147,44596077,75255830,72257279,46559740,57507334,72958204,44985860,44913896,45059618,56481930,63910685,45404995,64157071,63804446,43674536,71342903,56307898,44514824,47023928,73959725,74040427,63793432.5,44194731,46975002,43919382,47276896,73893152,74281610,64644849,57202480,72538796,56345732,44165212,74032255,43879636,61627737,44909930,44326823,70109460,44948266,74483335,45280144,61596000,74678066,46316224,57393387,44890201,45959062,44886477,64690089,47342888,64516824,75756095,43969892,74968858,63607211,72768300,45674140,71366415,44952889,74484583,44646811,46691993,64002979,70179771,71349374,45048459,44299881,45726650,75429618,63682813,44993375,43784281,44200176,62617944,57268352,45008560,57748810,44098210,72162632,56483670,63908222,61604317,64708405,43907390,44277421,63800740,44609073,44937611,56748511,44587489.67,44587789,75273145,63406051,57769172,56348339,59763672,44522547,44977695,44465700,45401951,56844806,44113494,52324592,57265399,56226109,74563228,75145186,61581726,45682985,45349314,53020434,71368456,64083933,44014868,73118117,61328437,73010651,61607013,44877144,73949669,73652692,44355701,40486872,49440167,57562147,44459350,64197084,76805396,74051122,64226878,64425098,46386219,71075409,57273494,74479797,61486686,44885154,59872954,43876618,44961478,57407752,43677151,45375569,44192016,44189310,44463461,45812225,56847178,45836217,70256359,49341823,44354770,44973092,63927357,160249416,56144880,40518631,45246862,43707364,63811842,44982852,56463294,73664996,57433809,61493976,47724224,64008300,45301948,44203534,79015618,74128955,43747203,44926495,44131110,55994702,45495914,57255380,47241532,46041638,45643860,47273234,43676094,46858343,45694465,43839962,79004694,56117596,73901130,44987119,72209402,46012606,79281163,72392026,44927834,47153620,63935473,44285605,63709093,74321142,56409230,74043626
Panthera_tigris_C1.y,134240827,147612217,144735276,134475033,162321274,134252475,133387643,135446822,135744159,133872551,133172038,152037033,144738284,151875079,134787505,134916726,152266792,147549109,133871504,163643972,160328245,135747650,145356521.5,161061864,134302644,134232481,134383065,144558494,151610191,134711113,151801484,151495712,132992271,159306253,144402544,133791826,136171185,162282603,162367353,151484298.5,133490805,136107686,133226428,136397582,162220506,162603288,152218530,145098853,160657026,144433292,133460809,162359784,133182767,149508884,134228603,133622439,157879536,134265461,162811677,134594365,149472683,163010872,135518947,145250711,134203405,135248213,134199630,152275639,136452295,152092373,164209685,133277998,163349514,151328020,160870752,134979000,159330605,134270253,162812988,133939452,135841276,151694014,157964916,159312871,134370923,133593821,135032420,163848904,151375958,134310261,133081524,133496827,150411509,145170021,134325351,145582519,133408026,160216123,144560259,151607626,149482649,152291333,133215548,133571702,151492247,133896623,134255012,144709973,133861586.9,133861887,163661654,151167421,145608356,144435898,147613109,133799139,134294321,133751632,134707955,144760234,133421888,141107250,145167129,144337936,162891963,163524992,149454258,134987241,134656002,141879173,159332630,151748969,133323037,161285368,149176724,161138505,149485913,134189793,162272612,161948847,133643613,130316226,138393259,145402336,133744950,151845818,165382970,162378041,151876509,152021160,135584209,158971842,145175339,162808046,149356050,134198329,147738673,133179615,134277743,145262572,132994838,134680488,133488197,133485786,133749252,135115401,144762496,135133400,158050146,138273978,133642637,134289358,151626724,151249372,144266276,130351869,134559978,133025676,151503329,134299549,144539030,161966312,145290757,149364089,136693456,151698687,134618679,133500035,167736287,162464309,133058832,134244549,133436596,144106576,134802927,145157359,136372296,135302898,134950561,136393658,132993792,136018431,134997824,133136614,167725677,144241009,162228811,134303948,160280827,135288784,168020801,160498328,134245863,136291419,151635274,133579503,151403125,162635362,144486326,162370544
Sus_scrofa_15.y,7577107,66326213,63314929,7341520,81362296,7565479,8372990,6345911,6054380,7912933,8594307,70826778,63317649,70660851,7021618,6896661,71046247,66255450,7913981,82726016,79354557,6050804,63909838,80116390,7516118,7585454,7433133,63123931,70376534,7096343,70583993,70259608,8780139,78169302,62968352,7998208,5597838,81324974,81421858,70247544.5,8270699,5668049,8541742,5375808,81247445,81656975,70990063,63666381,79709736,62996906,8297885,81414040,8584232,68205920,7589062,8143130,76668649,7552511,81878688,7214844,68168265,82093362,6269365,63815031,7613520,6559063,7617372,71055177,5306997,70891685,83280141,8490253,82427654,70084435,79937305,6829613,78193297,7547747,81879981,7853415,5949819,70483249,76760471,78175756,7452523,8171470,6779945,82908951,70134790,7508503,8686239,8264083,69143518,63735945,7493486,64131748,8353588,79232177,63125657,70374041,68179068,71069918,8553450,8192731,70256198,7896731,7563065,63285276,7923676,7923376,82743194,69901268,64153096,62999481,66327091,7989151,7524254,8038675,7099663,63343028,8339975,455359,63733094,62906843,81958536,82592592,68148935,6821139,7148117,60380722,78195297,70537388,8440761,80342061,67865022,80182833,68182398,7627710,81314455,80992589,8122003,11498537,3418914,63974494,8045286,70630954,84494771,81433160,70662256,70812887,6215494,77838603,63741164,81875073,68050975,7618651,66442329,8587407,7540293,63827316,8777562,7124392,8273306,8275707,8041035,6671141,63345442,6652279,76852681,3525768,8122974,7528984,70392815,46811631,62858704,11457849,7250372,8748371,70266844,7519207,63102992,81012539,63856062,68058624,5069090,70487820,7192632,8260961,86875087,81522430,8710973,7573406,8324039,62734906,7008206,63723087,5401258,6500771,6860440,5379255,8778612,5759670,6809371,8627836,86863894,62841716,81255279,7514813,79300263,6520982,87173897,79540842,7572078,5477993,70400718,8185891,70163148,81692742,63051146,81424978
Tursiops_truncatus_7.y,85404144,71853153,74735480,85161616,57321102,85392422,86231022,84134546,83852879,85761548,86448768,67458927,74732734,67628776,84817698,84697097,67220180,71917893,85762600,55992264,59302267,83849312,74172215,58567684,85341855,85412781,85256753,74928144,67887540,84899359,67699678,67990100,86643767,60316704,75081834,85844825,83393369,57357957,57275463,68001606,86132306,83458368,86393908,83189145,57433318,57021680,67276554,74420265,58986332,75053896,86159403,57282908,86437686,70030879,85416361,86006307,61669235,85379250,56814993,85031744,70063920,56616905,84058462,74270973,85439270,84327010,85443050,67212386,83137619,67392403,55425793,86344645,56303547,68166886,58768506,84614582,60292591,85374217,56813723,85684334,83775491,67801368,61586239,60310402,85274852,86033118,84559533,55810625,68110199,85334328,86543432,86126204,69110978,74352967,85319318,73949761,86212380,59399842,74926389,67890052,70054086,67193711,86407002,86054572,67993522,85741644,85389917,74765277,85771805,85771505,55975238,68376041,73927828,75051349,71852247,85836815,85349803,85883784,84902738,74711765,86199543,78359401,74355886,75153260,56734463,56128140,70082691,84606393,84956561,77601062,60290563,67744131,86298820,58346016,70334258,58497894,70050785,85453332,57367157,57684230,85984380,89204842,81158787,74111041,85890409,67657996,54187965,57264462,67627392,67475670,83996115,60617155,74347779,56818551,70183873,85444339,71742488,86440866,85366093,74259824,86641185,84935792,86134924,86137368,85886149,84448309,74709375,84424307,61507782,81264350,85985379,85354546,67871225,88169802,75209548,89171845,85067599,86609838,67982732,85344930,74947381,57664183,74231464,70176254,82882933,67797068,84995090,86123111,51806119,57168499,86566086,85400394,86184629,75343265,84804814,74365883,83215302,84274944,84657972,83192440,86642230,83598948,84592337,86481791,51816612,75230301,57424399,85340584,59351197,84290433,51480492,59140109,85399093,83293425,67863268,86047265,68083440,56990394,75000297,57272360
